annual_healthcare_expenditure_per_capita,gdp_per_capita_worldbank,nurses_and_midwives_per_1000_people,physicians_per_1000_people,prevalence_of_undernourishment,share_of_population_urban,share_without_improved_water,vaccination_coverage_who_unicef,years_of_schooling,world_regions_wb,world_income_group,Entity
661.3089,12525.081,4.314,1.285,4.4,55.387,2.984398,99.0,9.79798,Europe and Central Asia (WB),Upper-middle-income countries,Albania
720.8271,12832.212,,,4.5,56.423,2.9793777,99.0,9.76596,Europe and Central Asia (WB),Upper-middle-income countries,Albania
748.9791,13156.332,,,4.4,57.434,2.9792938,99.0,9.73394,Europe and Central Asia (WB),Upper-middle-income countries,Albania
806.71594,13692.479,3.656,1.219,4.3,58.421,2.983963,99.0,9.70192,Europe and Central Asia (WB),Upper-middle-income countries,Albania
832.9514,14155.04,,,4.3,59.383,2.9932556,99.0,9.6699,Europe and Central Asia (WB),Upper-middle-income countries,Albania
891.45447,14710.982,,,4.2,60.319,3.007019,99.0,9.71709,Europe and Central Asia (WB),Upper-middle-income countries,Albania
801.44775,14778.191,,,2.9,69.576,1.8001556,95.0,5.40406,"Middle East, North Africa, Afghanistan and Pakistan (WB)",Upper-middle-income countries,Algeria
867.79114,15073.763,,,2.7,70.221,1.6144638,95.0,5.58609,"Middle East, North Africa, Afghanistan and Pakistan (WB)",Upper-middle-income countries,Algeria
853.50793,15239.518,,,2.6,70.848,1.432663,95.0,5.76812,"Middle East, North Africa, Afghanistan and Pakistan (WB)",Upper-middle-income countries,Algeria
782.1357,15511.686,2.255,1.842,2.6,71.459,1.25457,91.0,5.95015,"Middle East, North Africa, Afghanistan and Pakistan (WB)",Upper-middle-income countries,Algeria
773.79047,15427.664,2.237,,2.5,72.052,1.0800934,91.0,6.13218,"Middle East, North Africa, Afghanistan and Pakistan (WB)",Upper-middle-income countries,Algeria
781.5744,15343.426,1.559,1.732,2.5,72.629,0.90905,91.0,6.31421,"Middle East, North Africa, Afghanistan and Pakistan (WB)",Upper-middle-income countries,Algeria
3269.7207,57332.16,,,,88.537,0.0,96.0,10.5625,Europe and Central Asia (WB),High-income countries,Andorra
3427.4148,59929.246,,,,88.441,0.0,97.0,10.59,Europe and Central Asia (WB),High-income countries,Andorra
3683.3738,62105.152,4.365,3.626,,88.345,0.0,97.0,10.51,Europe and Central Asia (WB),High-income countries,Andorra
3595.246,64402.81,,,,88.248,7.6293945e-06,98.0,10.49,Europe and Central Asia (WB),High-income countries,Andorra
3718.592,63239.656,,,,88.15,0.0,99.0,10.661667,Europe and Central Asia (WB),High-income countries,Andorra
4036.9253,63048.598,,,,88.062,7.6293945e-06,99.0,10.833333,Europe and Central Asia (WB),High-income countries,Andorra
208.74652,10150.916,,,13.2,62.002,34.49008,54.0,3.0687406,Sub-Saharan Africa (WB),Upper-middle-income countries,Angola
197.48933,10250.593,,,13.0,62.731,34.396584,55.0,3.13,Sub-Saharan Africa (WB),Upper-middle-income countries,Angola
189.3454,9980.93,,,14.0,63.446,34.314453,57.0,4.11691,Sub-Saharan Africa (WB),Upper-middle-income countries,Angola
1951.5256,29227.66,4.2463,3.9385,3.1,91.249,1.1358032,94.0,11.01,Latin America and Caribbean (WB),Upper-middle-income countries,Argentina
1887.9878,28200.814,,,2.8,91.377,1.0767517,94.0,11.08,Latin America and Caribbean (WB),High-income countries,Argentina
2040.3066,28669.207,,3.973,2.8,91.503,1.0176926,94.0,11.08,Latin America and Caribbean (WB),Upper-middle-income countries,Argentina
1987.3296,27802.105,2.573,3.987,3.0,91.627,0.9586258,92.0,11.06,Latin America and Caribbean (WB),Upper-middle-income countries,Argentina
2401.0913,28334.904,2.593,3.979,3.4,91.749,,88.0,11.18,Latin America and Caribbean (WB),High-income countries,Argentina
2388.695,27367.115,,,3.5,91.87,,86.0,11.3,Latin America and Caribbean (WB),Upper-middle-income countries,Argentina
4160.105,54699.35,12.01,3.374,2.5,85.502,0.090408325,91.0,12.04,East Asia and Pacific (WB),High-income countries,Australia
4657.6445,55288.117,12.18,3.45,2.5,85.602,0.038520813,92.0,12.13,East Asia and Pacific (WB),High-income countries,Australia
4782.245,55691.7,12.26,3.505,2.5,85.701,0.02999878,93.0,12.24,East Asia and Pacific (WB),High-income countries,Australia
5031.326,56341.52,12.44,3.577,2.5,85.8,0.030036926,94.0,12.36,East Asia and Pacific (WB),High-income countries,Australia
5104.522,56684.65,12.76,3.677,2.5,85.904,0.030059814,95.0,12.35,East Asia and Pacific (WB),High-income countries,Australia
5306.7617,57450.383,12.98,3.747,2.5,86.012,0.03010559,95.0,12.52,East Asia and Pacific (WB),High-income countries,Australia
549.32074,20398.646,6.484,3.373,2.5,54.145,8.027779,78.0,10.24,Europe and Central Asia (WB),Upper-middle-income countries,Azerbaijan
619.4754,20709.201,6.278,3.362,2.5,54.422,7.2230225,78.0,10.24,Europe and Central Asia (WB),Upper-middle-income countries,Azerbaijan
641.63995,20678.754,6.08,3.291,2.5,54.714,6.4234543,79.0,10.24,Europe and Central Asia (WB),Upper-middle-income countries,Azerbaijan
